id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user-verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
1,1.31144E+18,9/30/2020 22:42,but did she lie... https://t.co/9FcFeTtZ0d,None,None,None,None,None,0,0,Twitter for iPhone,Wakanda ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9FcFeTtZ0d', 'expanded_url': 'https://twitter.com/furyofthegod/status/1311407216860200961', 'display_url': 'twitter.com/furyofthegod/s…', 'indices': [19, 42]}]}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,en,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,TRUE
2,1.31144E+18,9/30/2020 22:37,if you sexually stan someone who is dead... nothing but a big ol’ yikes for you https://t.co/AgPmpBjcHX,None,None,None,None,None,0,0,Twitter for iPhone,Wakanda ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/AgPmpBjcHX', 'expanded_url': 'https://twitter.com/cigarettehoax/status/1310868628938530819', 'display_url': 'twitter.com/cigarettehoax/…', 'indices': [80, 103]}]}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,en,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,TRUE
3,1.31143E+18,9/30/2020 22:35,https://t.co/2MGIZepOjc https://t.co/Dvc4l0nRYw,None,None,None,None,None,0,0,Twitter for iPhone,Wakanda ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2MGIZepOjc', 'expanded_url': 'https://twitter.com/evrythingevans/status/1311336708210929669', 'display_url': 'twitter.com/evrythingevans…', 'indices': [0, 23]}], 'media': [{'id': 1311434560501149697, 'id_str': '1311434560501149697', 'indices': [24, 47], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EjMmyNTXcAEu-3_.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EjMmyNTXcAEu-3_.jpg', 'url': 'https://t.co/Dvc4l0nRYw', 'display_url': 'pic.twitter.com/Dvc4l0nRYw', 'expanded_url': 'https://twitter.com/cevansbitch/status/1311434568990416903/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 400, 'h': 224, 'resize': 'fit'}, 'medium': {'w': 400, 'h': 224, 'resize': 'fit'}, 'large': {'w': 400, 'h': 224, 'resize': 'fit'}}}]}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,und,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,TRUE
4,1.31143E+18,9/30/2020 22:29,WE HAVE MS.MARVEL OH MY GOD- https://t.co/rOQnyTcuIq,None,None,None,None,None,3,0,Twitter for iPhone,Wakanda ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311432958407069696, 'id_str': '1311432958407069696', 'indices': [29, 52], 'media_url': 'http://pbs.twimg.com/media/EjMlU9CX0AAoy-T.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjMlU9CX0AAoy-T.jpg', 'url': 'https://t.co/rOQnyTcuIq', 'display_url': 'pic.twitter.com/rOQnyTcuIq', 'expanded_url': 'https://twitter.com/cevansbitch/status/1311432962366492672/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 355, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 355, 'h': 360, 'resize': 'fit'}, 'large': {'w': 355, 'h': 360, 'resize': 'fit'}}}]}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,en,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,FALSE
5,1.31126E+18,9/30/2020 10:48,RT @JoeBiden: Donald Trump is the worst president we've ever had.,None,None,None,None,None,0,309222,Twitter for iPhone,Wakanda ,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [3, 12]}], 'urls': []}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,en,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,FALSE
6,1.31126E+18,9/30/2020 10:48,Donald trump is such a fucking wanker oh my god ??????????????????????????????????????????????????????????????????????,None,None,None,None,None,3,1,Twitter for iPhone,Wakanda ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,en,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,FALSE
7,1.31126E+18,9/30/2020 10:46,"“condemn white supremacists”

trump: https://t.co/MGhYT3aO8o",None,None,None,None,None,2,1,Twitter for iPhone,Wakanda ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1293799488121782272, 'id_str': '1293799488121782272', 'indices': [37, 60], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1293799488121782272/pu/img/_h5DBIvt3GfIb82i.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1293799488121782272/pu/img/_h5DBIvt3GfIb82i.jpg', 'url': 'https://t.co/MGhYT3aO8o', 'display_url': 'pic.twitter.com/MGhYT3aO8o', 'expanded_url': 'https://twitter.com/leather_Riv/status/1293799556547657736/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 383, 'h': 680, 'resize': 'fit'}, 'large': {'w': 720, 'h': 1280, 'resize': 'fit'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}}, 'source_status_id': 1293799556547657736, 'source_status_id_str': '1293799556547657736', 'source_user_id': 1081862456614383617, 'source_user_id_str': '1081862456614383617'}]}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,en,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,FALSE
8,1.31109E+18,9/29/2020 23:35,RT @UnusualVideos: https://t.co/WP0HTDh0kO,None,None,None,None,None,0,43934,Twitter for iPhone,Wakanda ,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'UnusualVideos', 'name': 'Unusual Videos ??', 'id': 928022995964190720, 'id_str': '928022995964190720', 'indices': [3, 17]}], 'urls': [], 'media': [{'id': 1293822156313255938, 'id_str': '1293822156313255938', 'indices': [19, 42], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1293822156313255938/img/f23Zt5insZoj7uym.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1293822156313255938/img/f23Zt5insZoj7uym.jpg', 'url': 'https://t.co/WP0HTDh0kO', 'display_url': 'pic.twitter.com/WP0HTDh0kO', 'expanded_url': 'https://twitter.com/UnusualVideos/status/1293822256921997315/video/1', 'type': 'photo', 'sizes': {'large': {'w': 576, 'h': 840, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 576, 'h': 840, 'resize': 'fit'}, 'small': {'w': 466, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1293822256921997315, 'source_status_id_str': '1293822256921997315', 'source_user_id': 928022995964190720, 'source_user_id_str': '928022995964190720'}]}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,und,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,FALSE
9,1.31109E+18,9/29/2020 23:27,already got rid of two https://t.co/6HsFzerXQM https://t.co/MGEE3etlrz,None,None,None,None,None,0,0,Twitter for iPhone,Wakanda ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6HsFzerXQM', 'expanded_url': 'https://twitter.com/Babyeneedy/status/1310578914348105730', 'display_url': 'twitter.com/Babyeneedy/sta…', 'indices': [23, 46]}], 'media': [{'id': 1311085238102130688, 'id_str': '1311085238102130688', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/media/EjHpE99WAAA6yKi.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjHpE99WAAA6yKi.jpg', 'url': 'https://t.co/MGEE3etlrz', 'display_url': 'pic.twitter.com/MGEE3etlrz', 'expanded_url': 'https://twitter.com/cevansbitch/status/1311085242036477952/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 715, 'h': 537, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 511, 'resize': 'fit'}, 'large': {'w': 715, 'h': 537, 'resize': 'fit'}}}]}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,en,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,TRUE
10,1.31108E+18,9/29/2020 23:25,https://t.co/TB4AwMO6K3 https://t.co/wOcIu2E8FV,None,None,None,None,None,0,0,Twitter for iPhone,Wakanda ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/TB4AwMO6K3', 'expanded_url': 'https://twitter.com/fruusciante/status/1310729842107842562', 'display_url': 'twitter.com/fruusciante/st…', 'indices': [0, 23]}], 'media': [{'id': 1311084758928064512, 'id_str': '1311084758928064512', 'indices': [24, 47], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EjHopE5WAAAybec.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EjHopE5WAAAybec.jpg', 'url': 'https://t.co/wOcIu2E8FV', 'display_url': 'pic.twitter.com/wOcIu2E8FV', 'expanded_url': 'https://twitter.com/cevansbitch/status/1311084766243049472/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 224, 'h': 194, 'resize': 'fit'}, 'large': {'w': 224, 'h': 194, 'resize': 'fit'}, 'medium': {'w': 224, 'h': 194, 'resize': 'fit'}}}]}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,und,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,TRUE
11,1.31108E+18,9/29/2020 23:10,never forget i made this meme for chris evans’s butt https://t.co/N7XwgOHlF6,None,None,None,None,None,2,0,Twitter for iPhone,Wakanda ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311080925707595777, 'id_str': '1311080925707595777', 'indices': [53, 76], 'media_url': 'http://pbs.twimg.com/media/EjHlJ9CXcAEaJa8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjHlJ9CXcAEaJa8.jpg', 'url': 'https://t.co/N7XwgOHlF6', 'display_url': 'pic.twitter.com/N7XwgOHlF6', 'expanded_url': 'https://twitter.com/cevansbitch/status/1311080930019246081/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 661, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1242, 'h': 684, 'resize': 'fit'}, 'small': {'w': 680, 'h': 374, 'resize': 'fit'}}}]}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,en,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,FALSE
12,1.31107E+18,9/29/2020 22:26,you didn’t have to come at me like this https://t.co/IWmoIxq4D0,None,None,None,None,None,0,0,Twitter for iPhone,Wakanda ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IWmoIxq4D0', 'expanded_url': 'https://twitter.com/vividmusing/status/1310683164054941696', 'display_url': 'twitter.com/vividmusing/st…', 'indices': [40, 63]}]}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,en,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,TRUE
13,1.31107E+18,9/29/2020 22:24,i kinda love you https://t.co/ToCkOD9e90,None,None,None,None,None,0,0,Twitter for iPhone,Wakanda ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ToCkOD9e90', 'expanded_url': 'https://twitter.com/ChrisEvans/status/1311064168800321540', 'display_url': 'twitter.com/ChrisEvans/sta…', 'indices': [17, 40]}]}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,en,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,TRUE
14,1.31107E+18,9/29/2020 22:23,my two brain cells looking at each other to make a decision https://t.co/8dS1vkPQsP,None,None,None,None,None,2,0,Twitter for iPhone,Wakanda ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311069111271731202, 'id_str': '1311069111271731202', 'indices': [60, 83], 'media_url': 'http://pbs.twimg.com/media/EjHaaQ1WsAIUgvI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjHaaQ1WsAIUgvI.jpg', 'url': 'https://t.co/8dS1vkPQsP', 'display_url': 'pic.twitter.com/8dS1vkPQsP', 'expanded_url': 'https://twitter.com/cevansbitch/status/1311069116070088704/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1500, 'h': 1232, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 986, 'resize': 'fit'}, 'small': {'w': 680, 'h': 559, 'resize': 'fit'}}}]}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,en,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,FALSE
15,1.31107E+18,9/29/2020 22:22,@finelinerm she cute https://t.co/AoRtorBbBH,1.31107E+18,finelinecorpsee,1.31107E+18,1958000917,1958000917,0,0,Twitter for iPhone,Wakanda ,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'finelinerm', 'name': 'riyah', 'id': 1176475090579378176, 'id_str': '1176475090579378176', 'indices': [0, 11]}], 'urls': [], 'media': [{'id': 1311068787681226754, 'id_str': '1311068787681226754', 'indices': [21, 44], 'media_url': 'http://pbs.twimg.com/media/EjHaHbXXcAI3Zy0.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjHaHbXXcAI3Zy0.jpg', 'url': 'https://t.co/AoRtorBbBH', 'display_url': 'pic.twitter.com/AoRtorBbBH', 'expanded_url': 'https://twitter.com/cevansbitch/status/1311068791653183489/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 901, 'h': 493, 'resize': 'fit'}, 'medium': {'w': 901, 'h': 493, 'resize': 'fit'}, 'small': {'w': 680, 'h': 372, 'resize': 'fit'}}}]}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,en,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,FALSE
16,1.31107E+18,9/29/2020 22:20,take a shot every time trump says wrONG #PresidentialDebate2020,None,None,None,None,None,0,0,Twitter for iPhone,Wakanda ,"{'hashtags': [{'text': 'PresidentialDebate2020', 'indices': [40, 63]}], 'symbols': [], 'user_mentions': [], 'urls': []}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,en,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,FALSE
17,1.31107E+18,9/29/2020 22:20,take a shot every time trump says wrONG #PresidentialDebate2020,None,None,None,None,None,0,0,Twitter for iPhone,Wakanda ,"{'hashtags': [{'text': 'PresidentialDebate2020', 'indices': [40, 63]}], 'symbols': [], 'user_mentions': [], 'urls': []}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,en,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,FALSE
18,1.31107E+18,9/29/2020 22:16,still the funniest fucking thing omfg https://t.co/2qDHZ59IPi,None,None,None,None,None,0,0,Twitter for iPhone,Wakanda ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2qDHZ59IPi', 'expanded_url': 'https://twitter.com/kingdeficit/status/1310361934148112385', 'display_url': 'twitter.com/kingdeficit/st…', 'indices': [38, 61]}]}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,en,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,TRUE
19,1.31107E+18,9/29/2020 22:15,@ChrisEvans @9GAG YOU’RE ALIVE!!,1.31106E+18,ChrisEvans,1.31106E+18,580097412,580097412,0,0,Twitter for iPhone,Wakanda ,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ChrisEvans', 'name': 'Chris Evans', 'id': 580097412, 'id_str': '580097412', 'indices': [0, 11]}, {'screen_name': '9GAG', 'name': '9GAG', 'id': 16548023, 'id_str': '16548023', 'indices': [12, 17]}], 'urls': []}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,en,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,FALSE
20,1.31106E+18,9/29/2020 21:38,"a section for the flute... then a section for the trumpet... and not to mention the intense climax at the end

tchaikovsky basically wrote a porno",1.31106E+18,cevansbitch,1.31106E+18,2223654036,2223654036,0,0,Twitter for iPhone,Wakanda ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,en,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,FALSE
21,1.31106E+18,9/29/2020 21:35,"swan lake waltz is basically a sex song, argue with yourself x",None,None,None,None,None,0,0,Twitter for iPhone,Wakanda ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,en,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,FALSE
22,1.31095E+18,9/29/2020 14:25,The ultimate battle of two old white men https://t.co/2jYxRsMlNu,None,None,None,None,None,7,0,Twitter for iPhone,Wakanda ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2jYxRsMlNu', 'expanded_url': 'https://twitter.com/ABC/status/1310912294122029056', 'display_url': 'twitter.com/ABC/status/131…', 'indices': [41, 64]}]}",302,FALSE,624,FALSE,??????????????,FALSE,FALSE,en,chris evans guards my pussy,TRUE,cevansbitch,29464,FALSE,TRUE
